NAME_LAT,KOATUU_RAY,longitude,latitude,KOATUU
Berdianske,1423900000,37.448,47.106,1423981101
Khrestyshche,1424200000,37.499,48.925,1424282401
Luhanske,1423300000,37.68,47.888,1423384501
Drobysheve,1423000000,37.742,49.044,1423055400
Myrne,1424200000,37.539,48.857,1424284701
Novomykhailivka,1423300000,37.484,47.855,1423385201
Zhelanne,1425500000,37.439,48.207,1425555300
Zalisne,1414400000,38.811,48.032,1414446200
Velyka Novosilka,1421200000,36.841,47.844,1421255100
Yalta,1423900000,37.266,46.958,1423955500
Bahatyr,1421200000,36.937,47.994,1421280801
Kirovsk,1423000000,37.928,49.021,1423055700
Novooleksandrivka,1420300000,36.851,48.768,1420386801
Verkhnokamianske,1420900000,38.194,48.858,1420981501
Zelene Pole,1421200000,36.622,47.827,1421281401
Zlatoustivka,1421500000,37.326,47.489,1421582401
Shylivka,1422000000,36.945,48.379,1422088801
Marianivka,1424500000,37.854,47.882,1424582401
Pryvillia,1424200000,37.27,48.861,1424286801
Luhanske,1420900000,38.25,48.434,1420955400
Manhush,1423900000,37.31,47.058,1423955100
Krasnyi Lyman,1413300000,37.804,48.986,1413300000
Soloviove,1425500000,37.599,48.224,1425587301
Nykanorivka,1422000000,37.263,48.42,1422085001
Pershe Travnia,1422700000,37.14,48.259,1422784701
Krasna Poliana,1421200000,37.065,47.562,1421283001
Krasne,1420900000,37.92,48.575,1420985501
Illichivske,1423900000,37.47,47.049,1423982201
Nyzhnia Krynka,1413500000,38.16,48.106,1413566500
Boiove,1421700000,37.174,47.164,1421781101
Sribne,1422700000,37.017,48.106,1422786501
Starovarvarivka,1420300000,37.219,48.675,1420388001
Ivanivka,1421500000,37.319,47.577,1421582801
Krasne,1422700000,37.188,48.052,1422782301
Maloianysol,1421700000,37.337,47.373,1421784401
Manuilivka,1425200000,38.665,47.964,1425284701
Ozerianivka,1410600000,37.986,48.275,1410691001
Iskra,1421200000,36.595,48.049,1421281801
Dobropillia,1411500000,37.085,48.471,1411500000
Anadol,1421500000,37.579,47.452,1421580401
Andriivka,1421200000,37.063,48.02,1421280201
Buhas,1421500000,37.56,47.637,1421583601
Ocheretyne,1425500000,37.612,48.245,1425555900
Ivanivka,1422700000,37.444,48.259,1422781601
Oktiabrske,1421200000,36.941,47.706,1421284001
Opytne,1420900000,38.017,48.555,1420986501
Vasiukivka,1420900000,37.982,48.742,1420981001
Zvanivka,1420900000,38.076,48.816,1420983501
Mykhailivka,1420300000,37.268,48.742,1420385501
Mykhailivka,1422700000,37.35,48.143,1422783201
Debaltseve,1410900000,38.406,48.334,1410900000
Panteleimonivka,1410600000,37.976,48.201,1410666700
Pervomaiskyi,1414400000,38.788,47.973,1414447100
Starodubivka,1423900000,37.039,47.104,1423986601
Novyi Svit,1424500000,38.022,47.806,1424555400
Novoamvrosiivske,1420600000,38.502,47.835,1420655900
Vasylivka,1420600000,38.514,47.672,1420682501
Oktiabrske,1421500000,37.477,47.509,1421585601
Oktiabrske,1422000000,37.353,48.46,1422087701
Mykhailivka,1424800000,38.194,47.392,1424883201
Komyshuvate,1423900000,37.169,47.086,1423983301
Komunarivka,1424500000,37.791,47.762,1424581201
Malynivka,1424200000,37.774,48.737,1424283501
Maloorlivka,1425200000,38.344,48.187,1425284501
Novoselydivka,1423300000,37.292,48.056,1423385401
Mykolaivka,1421500000,37.68,47.653,1421584001
Dzerzhynsk,1411200000,37.849,48.395,1411200000
Yampil,1423000000,37.943,48.934,1423056400
Bohoiavlenka,1423300000,37.215,47.856,1423382001
Proletarske,1413500000,38.1,48.015,1413569800
Nykyforivka,1420900000,37.895,48.774,1420985901
Shakhtarsk,1415300000,38.416,48.075,1415300000
Yunokomunarivsk,1412000000,38.283,48.219,1412070700
Hirnyk,1413800000,37.37,48.053,1413870300
Druzhkivka,1411700000,37.53,48.618,1411700000
Kodema,1420900000,38.087,48.474,1420985001
Kozatske,1423600000,37.976,47.232,1423682801
Kindrativka,1422400000,37.576,48.591,1422483501
Zhdanivka,1412100000,38.256,48.155,1412100000
Raiske,1411700000,37.472,48.577,1411746200
Rozsypne,1414700000,38.566,48.131,1414745700
Mospyne,1410100000,38.081,47.878,1410160500
Novoazovsk,1423600000,38.086,47.116,1423610100
Novohrodivka,1413600000,37.341,48.2,1413600000
Volodymyrivka,1420900000,38.205,48.664,1420982001
Yarova,1423000000,37.648,49.056,1423056600
Yasynivka,1413500000,37.947,48.133,1413565700
Hannivka,1422000000,37.11,48.484,1422081101
Berestove,1420900000,38.245,48.755,1420980501
Melekine,1423900000,37.397,46.958,1423984401
Sontseve,1424500000,38.031,47.54,1424587501
Spartak,1425500000,37.769,48.079,1425587601
Korovii Yar,1423000000,37.63,49.155,1423081801
Novhorodske,1411200000,37.831,48.332,1411246500
Stepne,1421500000,37.135,47.613,1421587901
Stepne,1423300000,37.549,47.795,1423387401
Komar,1421200000,36.751,47.977,1421282401
Verkhnotoretske,1425500000,37.869,48.223,1425555200
Novoluhanske,1420900000,38.176,48.427,1420986201
Novooleksandrivka,1422700000,37.552,48.282,1422783601
Donske,1421500000,37.54,47.518,1421555900
Andriivka,1424200000,37.283,48.618,1424280501
Yelyzavetivka,1423300000,37.3,47.887,1423382501
Bilokuzmynivka,1422400000,37.674,48.654,1422481501
Dmytrivka,1421500000,37.518,47.547,1421581401
Kostiantynivka,1423300000,37.407,47.866,1423384001
Kostiantynopil,1421200000,37.039,48,1421282701
Sviatohorivka,1422000000,37.03,48.485,1422055500
Rozivka,1425200000,38.222,48.169,1425286901
Rozivka,1425500000,37.776,48.282,1425586501
Rozsypne,1425200000,38.575,48.149,1425286801
Sakhanka,1423600000,37.858,47.128,1423686801
Serhiivka,1422700000,36.931,48.312,1422786001
Novodmytrivka,1422400000,37.727,48.55,1422484101
Dokuchaievsk,1411600000,37.677,47.749,1411600000
