NAME_OBL,NAME_RAY,NAME_LAT,KOATUU_OBL,KOATUU_RAY,KOATUU,longitude,latitude
Donetska,Velykonovosilkivskyi,Rozdolne,1400000000,1421200000,1421284601,36.918,47.906
Donetska,Dobropilskyi,Zolotyi Kolodiaz,1400000000,1422000000,1422083301,37.240,48.530
Donetska,Oleksandrivskyi,Zoloti Prudy,1400000000,1420300000,1420383501,37.023,48.731
Donetska,Marinskyi,Zoriane,1400000000,1423300000,1423383001,37.397,48.035
Donetska,Dobropilskyi,Svitle,1400000000,1422000000,1422088001,37.117,48.403
Donetska,Krasnoarmiiskyi,Novotroitske,1400000000,1422700000,1422784001,37.091,48.195
Donetska,Shakhtarskyi,Nikishyne,1400000000,1425200000,1425285601,38.523,48.241
Donetska,Kostiantynivskyi,Nova Poltavka,1400000000,1422400000,1422484201,37.490,48.365
Donetska,Yasynuvatskyi,Novoselivka Persha,1400000000,1425500000,1425583201,37.543,48.190
Donetska,Dobropilskyi,Novotoretske,1400000000,1422000000,1422086601,37.323,48.402
Donetska,Volnovaskyi,Novoandriivka,1400000000,1421500000,1421584801,37.347,47.648
Donetska,Yasynuvatskyi,Novobakhmutivka,1400000000,1425500000,1425583101,37.804,48.249
Donetska,Amvrosiivskyi,Zelene,1400000000,1420600000,1420684001,38.173,47.945
Donetska,Yasynuvatskyi,Pisky,1400000000,1425500000,1425585601,37.671,48.067
Donetska,Volnovaskyi,Pryvilne,1400000000,1421500000,1421586301,37.507,47.378
Donetska,Yasynuvatskyi,Orlivka,1400000000,1425500000,1425584301,37.644,48.165
Donetska,Artemivskyi,Minkivka,1400000000,1420900000,1420985701,37.847,48.693
Donetska,Telmanivskyi,Michurine,1400000000,1424800000,1424883601,38.037,47.474
Donetska,Amvrosiivskyi,Mnohopillia,1400000000,1420600000,1420685401,38.221,47.858
Donetska,Starobeshivskyi,Petrivske,1400000000,1424500000,1424586001,38.074,47.691
Donetska,Starobeshivskyi,Kumachove,1400000000,1424500000,1424581801,38.269,47.624
Donetska,Starobeshivskyi,Novozarivka,1400000000,1424500000,1424583501,38.132,47.639
Donetska,Amvrosiivskyi,Novoivanivka,1400000000,1420600000,1420686001,38.386,47.677
Donetska,Pershotravnevyi,Urzuf,1400000000,1423900000,1423985501,37.104,46.914
Donetska,Volodarskyi,Respublika,1400000000,1421700000,1421785501,37.199,47.252
Donetska,Slovianskyi,Oleksandrivka,1400000000,1424200000,1424280301,37.423,48.824
Donetska,Dobropilskyi,Novovodiane,1400000000,1422000000,1422085501,37.142,48.548
Donetska,Krasnoarmiiskyi,Petrivka,1400000000,1422700000,1422785001,37.208,48.171
Donetska,Oleksandrivskyi,Petrivka Druha,1400000000,1420300000,1420386609,36.780,48.678
